"Date","z2000","z2800","z4000","z4200","CPI","obl30yr","nat_tres_lend_rate"
1992 Q1,5183,6937,5129,3590,63.9666666666667,10.2266666666667,9.92
1992 Q2,5626,6670,5251,3861,64.6333333333333,10.33,10
1992 Q3,6980,6400,5201,3707,64.6333333333333,10.7733333333333,10.25
1992 Q4,6686,6382,5113,3752,64.8,10.6,12.9666666666667
1993 Q1,5537,6511,4887,3770,64.7666666666667,10.49,11.5
1993 Q2,7047,6793,5135,3818,65.2666666666667,9.9,8.81666666666667
1993 Q3,6651,6862,5588,4079,65.4,9.71666666666667,10.1666666666667
1993 Q4,6174,6840,5472,4169,65.7333333333333,9.13,7.41666666666667
1994 Q1,6558,7087,5634,3938,65.9666666666667,8.58666666666667,6.08333333333333
1994 Q2,6496,7930,5450,4233,66.5333333333333,9.05,5.7
1994 Q3,7283,7911,5557,4089,66.7666666666667,9.48,5.5
1994 Q4,6955,7727,5661,3946,67.1333333333333,9.67,5.5
1995 Q1,7607,7368,5813,4105,67.4666666666667,9.59333333333333,6
1995 Q2,7165,8173,5964,4179,68.0666666666667,9.26,6.4
1995 Q3,8643,8248,6151,4272,68,8.99,5.7
1995 Q4,8477,8853,6454,4361,68.4,8.62,4.96666666666667
1996 Q1,8174,8959,7009,4257,68.7333333333333,8.47666666666667,4.2
1996 Q2,8311,8918,7015,4462,69.4333333333333,8.28,3.76666666666667
1996 Q3,8964,9344,7029,4603,69.6,8.05666666666667,3.56666666666667
1996 Q4,8772,9647,7530,4687,70.0333333333333,7.73,3.5
1997 Q1,9346,9664,7615,5002,70.2,7.5,3.5
1997 Q2,9861,10701,8012,5106,70.8666666666667,7.32666666666667,3.5
1997 Q3,9806,10549,8125,5088,71.2666666666667,7.16666666666667,3.5
1997 Q4,11098,10743,8629,4976,71.5333333333333,7.16,3.75
1998 Q1,10158,11257,8072,5291,71.6666666666667,6.91666666666667,3.75
1998 Q2,11822,11113,8833,5421,72.2666666666667,6.72666666666667,3.91666666666667
1998 Q3,12685,12825,9070,5576,72.3666666666667,6.61333333333333,4.33333333333333
1998 Q4,13918,12037,9505,5527,72.7333333333333,6.51666666666667,4.28333333333333
1999 Q1,13288,12351,9753,5674,73.1,6.31666666666667,3.55
1999 Q2,12046,12964,10172,5786,73.9,6.21666666666667,2.88333333333333
1999 Q3,10594,13710,9856,6002,74.3,6.72,2.85
1999 Q4,13914,13045,10644,5686,74.9,6.74,3.15
2000 Q1,14408,14105,10788,5860,75.4,6.69333333333333,3.58333333333333
2000 Q2,14873,14391,10563,6153,76.2666666666667,6.86333333333333,4.3
2000 Q3,14358,15539,11292,6448,76.3333333333333,6.93333333333333,5.13333333333333
2000 Q4,14398,14605,11049,6160,76.8666666666667,6.77,5.4
2001 Q1,14780,15551,11470,6912,77.2333333333333,6.48666666666667,5.33333333333333
2001 Q2,13367,15661,11776,6805,78.2333333333333,6.56333333333333,5.1
2001 Q3,16015,17107,12093,6704,78.2,6.28,4.58333333333333
2001 Q4,17453,16245,11649,6821,78.4333333333333,6.19666666666667,3.76666666666667
2002 Q1,15969,16641,12275,7233,79.1666666666667,6.08,3.56666666666667
2002 Q2,17821,16195,12676,7099,80,5.97333333333333,3.55
2002 Q3,18965,15526,12823,7152,80,5.64666666666667,3.48333333333333
2002 Q4,17760,16528,12037,6976,80.5,5.56333333333333,3.28333333333333
2003 Q1,17567,16298,12833,7197,81.3333333333333,5.05333333333333,2.86666666666667
2003 Q2,17761,16758,12428,7581,81.8333333333333,4.77,2.5
2003 Q3,17187,17176,12895,7577,81.4666666666667,4.71,2.15
2003 Q4,21085,17389,12975,7834,81.6666666666667,4.93333333333333,2.15
2004 Q1,16856,18414,13694,7981,82.1,4.34333333333333,2.15
2004 Q2,19514,19180,13505,8447,82.7333333333333,4.38,2.15
2004 Q3,22247,20143,14393,8259,82.4333333333333,4.19666666666667,2.15
2004 Q4,24577,20885,15127,7991,82.8,4.43333333333333,2.15
2005 Q1,26096,22415,15095,9886,83.1,4.01666666666667,2.15
2005 Q2,24395,25078,15997,9999,84.1333333333333,3.72666666666667,2.15
2005 Q3,29267,26978,17350,9965,84.3,3.64333333333333,2.15
2005 Q4,29533,29210,19192,11076,84.5333333333333,4.13,2.23333333333333
2006 Q1,33092,30204,20554,11255,84.8333333333333,4.04333333333333,2.55
2006 Q2,36617,33034,22979,11129,85.8333333333333,4.32333333333333,2.83333333333333
2006 Q3,36693,31900,23304,11824,85.9,4.33666666666667,3.16666666666667
2006 Q4,30346,31938,24207,12238,85.9666666666667,4.62,3.58333333333333
2007 Q1,31868,30505,22551,12179,86.4333333333333,4.64666666666667,3.83333333333333
2007 Q2,36518,31286,23479,12427,87.2,4.90666666666667,4.08333333333333
2007 Q3,30994,28593,23556,12679,86.8666666666667,4.99,4.25
2007 Q4,33241,29485,21303,12166,87.8333333333333,5.07666666666667,4.25
2008 Q1,39382,28133,21222,12990,89.0666666666667,4.86,4.25
2008 Q2,36224,27327,20833,12746,90.2666666666667,5.40666666666667,4.31666666666667
2008 Q3,32944,25959,20199,12449,90.5,5.49,4.6
2008 Q4,31799,23517,19192,11813,90.4,5.39333333333333,4.75
2009 Q1,24743,21434,16323,10800,90.6333333333333,4.50666666666667,2.75
2009 Q2,30706,22186,15794,11050,91.3666666666667,4.02,1.73333333333333
2009 Q3,27445,23188,16583,10326,91.4,3.45666666666667,1.38333333333333
2009 Q4,26027,23704,16764,10548,91.5333333333333,3.66,1.23333333333333
2010 Q1,32509,25947,17271,10296,92.5333333333333,3.12333333333333,1.05
2010 Q2,34462,25726,17657,9970,93.3666666666667,2.69666666666667,1.05
2010 Q3,32431,26818,17490,10414,93.5666666666667,2.58333333333333,1.05
2010 Q4,35141,27480,17436,9666,93.9,3.00333333333333,1.05
2011 Q1,37246,25890,17909,9317,95.0333333333333,3.08666666666667,1.05
2011 Q2,37048,26609,17788,10394,96.2,2.99666666666667,1.3
2011 Q3,25077,24362,17244,8892,96.1,2.62,1.55
2011 Q4,28405,25915,16973,8806,96.3333333333333,2.61333333333333,1.15
2012 Q1,27052,24530,16332,8647,97.6,2.32,0.7
2012 Q2,27321,24297,16599,9182,98.3,1.98,0.583333333333333
2012 Q3,33137,24512,16408,9080,98.4666666666667,1.8,0.2
2012 Q4,34696,25379,16596,7895,98.5,1.9,0.2
2013 Q1,35653,24908,16405,8407,98.7333333333333,1.86333333333333,0.3
2013 Q2,34015,26869,17915,8575,99.1333333333333,1.65666666666667,0.233333333333333
2013 Q3,30697,27053,17584,8583,98.9666666666667,1.80666666666667,0.2
2013 Q4,33955,26799,17304,9008,99.1333333333333,1.77666666666667,0.2
2014 Q1,38057,26764,18246,9081,99.3333333333333,1.65333333333333,0.2
2014 Q2,35275,28576,17506,8421,99.7333333333333,1.48666666666667,0.2
2014 Q3,36666,27955,17203,8170,99.5333333333333,1.44666666666667,0.2
2014 Q4,38240,28102,16843,8704,99.6,1.51,0.2
2015 Q1,39828,29722,19386,9043,99.6,1.29,0.05
2015 Q2,43955,32019,19739,9064,100.333333333333,1.28666666666667,0.05
2015 Q3,40725,30750,18446,10355,100.133333333333,1.34,0.05
2015 Q4,43772,31162,18881,8916,99.9333333333333,1.41333333333333,0.05
2016 Q1,35664,32469,19350,9186,99.9,1.37333333333333,0.05
2016 Q2,44624,32561,19583,9642,100.466666666667,1.11,0.05
2016 Q3,42008,33194,19442,9439,100.3,0.956666666666667,0.05
2016 Q4,42545,32556,19975,9417,100.333333333333,1.10666666666667,0.05
2017 Q1,46969,33462,20236,9347,100.866666666667,1.01666666666667,0.05
2017 Q2,43342,34091,20887,10693,101.3,0.923333333333333,0.05
2017 Q3,52597,32923,20017,9850,101.833333333333,0.796666666666667,0.05
2017 Q4,53700,34626,21615,10110,101.6,0.866666666666667,0.05
2018 Q1,49203,34367,22203,10674,101.466666666667,0.89,0.05
2018 Q2,50998,34759,20872,9961,102.3,0.8,0.05
2018 Q3,49540,34764,21340,10299,102.733333333333,0.74,0.05
2018 Q4,49267,34161,21529,10088,102.4,0.786666666666667,0.05
2019 Q1,48487,35528,20916,10867,102.666666666667,0.726666666666667,0.05
2019 Q2,50732,35769,22136,10460,103.066666666667,0.596666666666667,0.05
2019 Q3,48625,35044,22824,10506,103.166666666667,0.446666666666667,0.05
2019 Q4,53979,36211,21780,10399,103.1,0.47,0.05
2020 Q1,47843,36992,21817,10081,103.3,0.486666666666667,0.05
2020 Q2,52770,36436,22708,10127,103.166666666667,0.443333333333333,0.05
2020 Q3,54290,39249,23211,10636,103.7,0.396666666666667,0.05
2020 Q4,65148,41368,24372,10753,103.566666666667,0.39,0.05
2021 Q1,65039,41761,25277,11444,104.033333333333,0.45,-0.0833333333333333
2021 Q2,80295,46275,26437,11700,104.866666666667,0.6,-0.35
